date,open,high,low,close,volume
2026-06-09 14:45:00+05:30,23251.1,23253.2,23239.45,23241.3,0
2026-06-09 14:50:00+05:30,23240.95,23269.05,23239.7,23267.25,0
2026-06-09 14:55:00+05:30,23266.4,23279.4,23265.9,23274.65,0
2026-06-09 15:00:00+05:30,23272.9,23272.9,23230.5,23237.9,0
2026-06-09 15:05:00+05:30,23239.7,23265.45,23239.7,23263.7,0
2026-06-09 15:10:00+05:30,23262.5,23265.65,23241.3,23244.2,0
2026-06-09 15:15:00+05:30,23242.7,23244.25,23225.05,23231.1,0
2026-06-09 15:20:00+05:30,23230.55,23243.5,23228.8,23239.7,0
2026-06-09 15:25:00+05:30,23240.7,23261.05,23236.7,23257.75,0
2026-06-10 09:15:00+05:30,23233.95,23350.2,23217.3,23326.4,0
2026-06-10 09:20:00+05:30,23326.8,23331.9,23299.0,23326.75,0
2026-06-10 09:25:00+05:30,23326.35,23340.75,23315.9,23339.75,0
2026-06-10 09:30:00+05:30,23339.45,23351.3,23329.7,23349.9,0
2026-06-10 09:35:00+05:30,23350.35,23350.95,23334.15,23337.8,0
2026-06-10 09:40:00+05:30,23338.4,23356.9,23335.0,23355.05,0
2026-06-10 09:45:00+05:30,23353.7,23381.45,23353.2,23379.15,0
2026-06-10 09:50:00+05:30,23380.0,23380.8,23368.7,23372.5,0
2026-06-10 09:55:00+05:30,23374.2,23384.45,23364.75,23366.6,0
2026-06-10 10:00:00+05:30,23366.6,23370.55,23345.45,23350.8,0
2026-06-10 10:05:00+05:30,23350.5,23360.05,23343.05,23350.85,0
2026-06-10 10:10:00+05:30,23351.85,23357.1,23317.0,23317.0,0
2026-06-10 10:15:00+05:30,23317.3,23336.55,23305.8,23334.65,0
2026-06-10 10:20:00+05:30,23334.7,23338.35,23315.95,23322.65,0
2026-06-10 10:25:00+05:30,23322.5,23323.15,23313.0,23319.4,0
2026-06-10 10:30:00+05:30,23319.4,23338.1,23317.7,23337.35,0
2026-06-10 10:35:00+05:30,23337.1,23351.55,23332.9,23333.25,0
2026-06-10 10:40:00+05:30,23333.55,23347.9,23329.55,23345.95,0
2026-06-10 10:45:00+05:30,23345.8,23353.5,23341.45,23352.35,0
2026-06-10 10:50:00+05:30,23352.25,23363.2,23346.05,23361.7,0
2026-06-10 10:55:00+05:30,23361.2,23378.55,23350.5,23378.55,0
2026-06-10 11:00:00+05:30,23378.55,23384.3,23362.85,23378.5,0
2026-06-10 11:05:00+05:30,23378.1,23379.2,23363.1,23377.4,0
2026-06-10 11:10:00+05:30,23377.3,23388.9,23372.9,23373.65,0
2026-06-10 11:15:00+05:30,23373.65,23383.05,23360.45,23360.45,0
2026-06-10 11:20:00+05:30,23360.8,23379.5,23359.95,23378.35,0
2026-06-10 11:25:00+05:30,23378.3,23398.1,23375.6,23396.75,0
2026-06-10 11:30:00+05:30,23396.9,23400.2,23385.85,23388.55,0
2026-06-10 11:35:00+05:30,23388.45,23408.4,23386.7,23406.15,0
2026-06-10 11:40:00+05:30,23406.5,23409.8,23397.4,23406.0,0
2026-06-10 11:45:00+05:30,23405.95,23406.3,23389.5,23400.05,0
2026-06-10 11:50:00+05:30,23399.95,23402.85,23389.7,23396.35,0
2026-06-10 11:55:00+05:30,23396.25,23403.7,23393.8,23402.8,0
2026-06-10 12:00:00+05:30,23403.3,23404.65,23376.45,23381.85,0
2026-06-10 12:05:00+05:30,23382.05,23395.7,23378.1,23390.3,0
2026-06-10 12:10:00+05:30,23390.25,23396.55,23383.3,23395.4,0
2026-06-10 12:15:00+05:30,23395.25,23397.25,23384.55,23390.35,0
2026-06-10 12:20:00+05:30,23390.6,23392.45,23376.1,23377.65,0
2026-06-10 12:25:00+05:30,23377.6,23381.2,23374.3,23375.25,0
2026-06-10 12:30:00+05:30,23375.95,23381.35,23372.6,23374.15,0
2026-06-10 12:35:00+05:30,23374.2,23380.5,23370.8,23373.15,0
2026-06-10 12:40:00+05:30,23373.05,23373.2,23346.6,23347.75,0
2026-06-10 12:45:00+05:30,23347.85,23364.35,23333.2,23361.65,0
2026-06-10 12:50:00+05:30,23362.35,23385.45,23362.3,23380.35,0
2026-06-10 12:55:00+05:30,23380.7,23381.8,23363.75,23380.05,0
2026-06-10 13:00:00+05:30,23380.05,23418.15,23380.0,23416.45,0
2026-06-10 13:05:00+05:30,23417.35,23425.35,23403.6,23412.75,0
2026-06-10 13:10:00+05:30,23412.4,23420.05,23400.85,23405.15,0
2026-06-10 13:15:00+05:30,23405.65,23410.3,23395.95,23396.85,0
2026-06-10 13:20:00+05:30,23397.0,23398.2,23372.5,23373.15,0
2026-06-10 13:25:00+05:30,23373.35,23401.4,23371.75,23398.3,0
2026-06-10 13:30:00+05:30,23397.95,23407.35,23377.2,23381.65,0
2026-06-10 13:35:00+05:30,23381.55,23388.15,23375.35,23378.2,0
2026-06-10 13:40:00+05:30,23378.35,23387.75,23351.9,23358.85,0
2026-06-10 13:45:00+05:30,23358.3,23377.45,23358.0,23362.5,0
2026-06-10 13:50:00+05:30,23362.15,23366.3,23347.8,23349.75,0
2026-06-10 13:55:00+05:30,23349.5,23355.35,23347.05,23352.95,0
2026-06-10 14:00:00+05:30,23352.4,23364.75,23339.95,23359.05,0
2026-06-10 14:05:00+05:30,23358.9,23361.7,23338.55,23339.85,0
2026-06-10 14:10:00+05:30,23339.1,23345.15,23315.0,23317.15,0
